../datasets/dev_kenpos-bxk_upos.tsv
POS TAG	# TOKENS	# TYPES	TOP 5 TYPES	# FILES	5 OF THE FILES
NN	4198	1203	wele babaandu omwami bioosi omunyali	35	9lbk36_lhybk_pos.csv 9lbk07_lhybk_pos.csv 1823p02_lhybk_pos.csv 9lbk28_lhybk_pos.csv 9lbk06_lhybk_pos.csv
V	2847	1676	aaba aloma acha aboolela aba	36	9lbk36_lhybk_pos.csv 9lbk07_lhybk_pos.csv 1823p02_lhybk_pos.csv 9lbk28_lhybk_pos.csv 9lbk06_lhybk_pos.csv
ADP	2284	184	mu khu mala owa ali	32	9lbk36_lhybk_pos.csv 9lbk07_lhybk_pos.csv 1823p02_lhybk_pos.csv 9lbk28_lhybk_pos.csv 9lbk06_lhybk_pos.csv
CONJ	1093	93	ne mala nga lundi nende	35	9lbk36_lhybk_pos.csv 9lbk07_lhybk_pos.csv 1823p02_lhybk_pos.csv 9lbk28_lhybk_pos.csv 9lbk06_lhybk_pos.csv
PUNCT	1064	23	, . """" - ?	27	9lbk36_lhybk_pos.csv 9lbk07_lhybk_pos.csv 1823p02_lhybk_pos.csv 9lbk28_lhybk_pos.csv 9lbk06_lhybk_pos.csv
PUNC	963	17	, . """" ! ?	9	9lbk15_lhybk_pos.csv 9lbk19_lhybk_pos.csv 9lbk17_lhybk_pos.csv 9lbk22_lhybk_pos.csv 9lbk21_lhybk_pos.csv
DET	715	203	tawe wewe kano ali yino	34	9lbk36_lhybk_pos.csv 9lbk07_lhybk_pos.csv 1823p02_lhybk_pos.csv 9lbk28_lhybk_pos.csv 9lbk06_lhybk_pos.csv
PRON	575	149	enywe ese ewe efwe wewe	26	9lbk36_lhybk_pos.csv 1823p02_lhybk_pos.csv 9lbk27_lhybk_pos.csv 1823p16_lhybk_pos.csv 9lbk30_lhybk_pos.csv
ADJ	428	217	omunyali saba okhwa lukali kamakhumi	32	9lbk36_lhybk_pos.csv 9lbk07_lhybk_pos.csv 1823p02_lhybk_pos.csv 9lbk28_lhybk_pos.csv 9lbk06_lhybk_pos.csv
ADV	333	109	tawe alala bioosi yesi lukali	33	9lbk36_lhybk_pos.csv 1823p02_lhybk_pos.csv 9lbk28_lhybk_pos.csv 9lbk06_lhybk_pos.csv 9lbk27_lhybk_pos.csv
PREP	157	50	ne nende khukhwama sie eya	5	1823p01_lhybk_pos.csv 9lbk10_lhybk_pos.csv 9lbk21_lhybk_pos.csv 9lbk23_lhybk_pos.csv 9lbk33_lhybk_pos.csv
NUM	98	62	mulala khataru kamakhumi chine silala	16	9lbk36_lhybk_pos.csv 9lbk08_lhybk_pos.csv 9lbk35_lhybk_pos.csv 1823p01_lhybk_pos.csv 9lbk42_lhybk_pos.csv
X	22	16	mene cdf korona tekeli parisini	8	9lbk36_lhybk_pos.csv 9lbk08_lhybk_pos.csv 9lbk35_lhybk_pos.csv 1823p01_lhybk_pos.csv 1823p11_lhybk_pos.csv
ADJE	9	8	chosi linyalikha bukhongo bakhulu chikhenyala	2	9lbk27_lhybk_pos.csv 9lbk33_lhybk_pos.csv
N	5	5	mala bunyali bulwale aana lilaka	5	9lbk36_lhybk_pos.csv 9lbk28_lhybk_pos.csv 9lbk40_lhybk_pos.csv 9lbk21_lhybk_pos.csv 9lbk35_lhybk_pos.csv
PART	4	3	osi mwe kili	1	9lbk28_lhybk_pos.csv
INTER	4	3	po tawe yee	2	9lbk36_lhybk_pos.csv 9lbk28_lhybk_pos.csv
ART	3	3	si e a	1	9lbk16_lhybk_pos.csv
PRO	3	3	ese khwise noliwe	2	9lbk26_lhybk_pos.csv 0312_lhybk_pos.csv
CON	2	2	owa ba	1	1823p09_lhybk_pos.csv
C0NJ	2	2	ne nga	1	9lbk27_lhybk_pos.csv
ADO	2	2	ke bali	2	9lbk13_lhybk_pos.csv 9lbk04_lhybk_pos.csv
A	2	2	be khu	1	9lbk16_lhybk_pos.csv
PUNT	2	2	, .	1	1823p01_lhybk_pos.csv
P	2	2	, khwiwe	1	9lbk36_lhybk_pos.csv
PR0N	1	1	ewe	1	9lbk23_lhybk_pos.csv
COJ	1	1	se	1	9lbk04_lhybk_pos.csv
NNN	1	1	bioosi	1	9lbk04_lhybk_pos.csv
PR	1	1	enywe	1	1823p11_lhybk_pos.csv
PI	1	1	;	1	9lbk15_lhybk_pos.csv
PROUN	1	1	nisio	1	1823p01_lhybk_pos.csv
NOUN	1	1	maayi	1	9lbk26_lhybk_pos.csv
C	1	1	ne	1	9lbk21_lhybk_pos.csv
DP	1	1	khu	1	9lbk36_lhybk_pos.csv

chosi	ADJE 2
linyalikha	ADJE 1  V 1
bukhongo	ADJ 1  ADJE 1
bakhulu	ADJE 1  NN 6  ADJ 2
chikhenyala	ADJE 1  PRON 1
mala	CONJ 82  ADP 188  N 1  DET 1
bunyali	NN 9  N 1
bulwale	N 1  NN 2
aana	V 3  N 1
lilaka	NN 20  N 1
osi	DET 2  PART 2
mwe	ADP 4  PART 1  DET 1
kili	PART 1  ADP 4
po	INTER 2
tawe	ADP 65  ADV 25  ADJ 4  DET 43  INTER 1
yee	ADP 2  INTER 1
si	ADP 3  ART 1
e	ADP 21  CONJ 1  ART 1  PREP 1
a	ADP 13  ART 1  PREP 1
