METRIC	AVERAGE	STD_DEV	N_RUNS
dev_AnCora-SPA_beto_orig_acc_epoch1	0.9867667952100669	0.0002777258921671179	5
dev_AnCora-SPA_beto_orig_f1_epoch1	0.8741298773299006	0.015123218570989994	5
dev_rpic_beto_orig_acc_epoch1	0.5134586390592019	0.02266612717585133	5
dev_rpic_beto_orig_f1_epoch1	0.32400648297682116	0.016057280309585257	5
dev_AnCora-SPA_beto_orig_acc_epoch2	0.9881211137147814	0.000986226873870664	5
dev_AnCora-SPA_beto_orig_f1_epoch2	0.9251165719291008	0.0041460617417503395	5
dev_rpic_beto_orig_acc_epoch2	0.51002110764901	0.011958112074876757	5
dev_rpic_beto_orig_f1_epoch2	0.34671070498922724	0.012706574125142657	5
dev_f1_epoch	0.6174909093062625	0.28311540518184697	20
dev_acc_epoch	0.749591913908265	0.23820106933228627	20
