METRIC	AVERAGE	STD_DEV	N_RUNS
dev_AnCora-SPA_mbert_orig_acc_epoch1	0.9877992506045	0.0005052239519241724	5
dev_AnCora-SPA_mbert_orig_f1_epoch1	0.9137182292856212	0.004993496246707707	5
dev_rpic_mbert_orig_acc_epoch1	0.6405869936677053	0.011633335367205774	5
dev_rpic_mbert_orig_f1_epoch1	0.45846260114701	0.013359532869886186	5
dev_AnCora-SPA_mbert_orig_acc_epoch2	0.9895121546043523	0.00014173065190358367	5
dev_AnCora-SPA_mbert_orig_f1_epoch2	0.9561417150889582	0.0077108569300436735	5
dev_rpic_mbert_orig_acc_epoch2	0.6384963312895768	0.011803896051217382	5
dev_rpic_mbert_orig_f1_epoch2	0.4635124272488177	0.008943159234685166	5
dev_acc_epoch	0.8048671717179007	0.1744784914067352	19
dev_f1_epoch	0.6979587431926018	0.23763255746301548	20
