METRIC	AVERAGE	STD_DEV	N_RUNS
dev_AnCora-SPA_xlmr_orig_acc_epoch1	0.9827696965221886	0.001101326193706694	5
dev_AnCora-SPA_xlmr_orig_f1_epoch1	0.8237715578698357	0.02697029158348647	5
dev_rpic_xlmr_orig_acc_epoch1	0.6997487184641671	0.004081554778397205	5
dev_rpic_xlmr_orig_f1_epoch1	0.5036164345191928	0.00520193413016375	5
dev_AnCora-SPA_xlmr_orig_acc_epoch2	0.9844126116813113	0.0013777730226902352	5
dev_AnCora-SPA_xlmr_orig_f1_epoch2	0.8577872587716391	0.012363448243752215	5
dev_rpic_xlmr_orig_acc_epoch2	0.694904010453312	0.0036477078829593172	5
dev_rpic_xlmr_orig_f1_epoch2	0.49948293030608737	0.003697803821202344	5
dev_f1_epoch	0.6711645453666886	0.17072263263442256	20
dev_acc_epoch	0.8480433575529047	0.14292223231316498	19
