METRIC	AVERAGE	STD_DEV	N_RUNS
dev_gsd_mbert_orig_acc_epoch1	0.982822395337107	0.0002768388507589404	5
dev_gsd_mbert_orig_f1_epoch1	0.894690265444192	0.0015427757486026952	5
dev_rpic_mbert_orig_acc_epoch1	0.6611317720373906	0.01932328281071644	5
dev_rpic_mbert_orig_f1_epoch1	0.4646446582804547	0.003939036931167785	5
dev_gsd_mbert_orig_acc_epoch2	0.9844588914420221	0.0004565468106129132	5
dev_gsd_mbert_orig_f1_epoch2	0.9174953945393997	0.010312176878139689	5
dev_rpic_mbert_orig_acc_epoch2	0.6764096894160218	0.003969217559993071	5
dev_rpic_mbert_orig_f1_epoch2	0.47465496734905227	0.0030435675863652424	5
dev_acc_epoch	0.8163884014227993	0.15818963883709472	17
dev_f1_epoch	0.6878713214032746	0.21847548364034086	20
