METRIC	AVERAGE	STD_DEV	N_RUNS
dev_f1_epoch	0.7377780773229407	0.22057959182066703	20
dev_acc_epoch	0.7482168245206091	0.2222116992275126	19
dev_hdt_gbert_orig_acc_epoch1	0.9818102338983259	0.00013137893032510387	5
dev_hdt_gbert_orig_f1_epoch1	0.9492251943385026	0.0050607701700261165	5
dev_noah_gbert_orig_acc_epoch1	0.5275938889622682	0.012717794086144431	5
dev_noah_gbert_orig_f1_epoch1	0.5025037039954519	0.010484950016978743	5
dev_hdt_gbert_orig_acc_epoch2	0.9816673952259867	0.00015499346226803768	5
dev_hdt_gbert_orig_f1_epoch2	0.9663099616052804	0.0029453428354488395	5
dev_noah_gbert_orig_acc_epoch2	0.54852111125787	0.0278054153042701	5
dev_noah_gbert_orig_f1_epoch2	0.5330734493525273	0.016807254687193688	5
