METRIC	AVERAGE	STD_DEV	N_RUNS
dev_f1_epoch	0.8085911642382625	0.10988608392844322	20
dev_acc_epoch	0.8881085173198832	0.09137721843181165	20
dev_hdt_gbert_orig_acc_epoch1	0.9788253981935833	0.00037744789579555475	5
dev_hdt_gbert_orig_f1_epoch1	0.9088345496339825	0.0006441091780786763	5
dev_noah_gbert_orig_acc_epoch1	0.7978673006648176	0.0018148229111143045	5
dev_noah_gbert_orig_f1_epoch1	0.6963114761787926	0.0015676997635815418	5
dev_hdt_gbert_orig_acc_epoch2	0.9801177187678933	0.0002237111100487423	5
dev_hdt_gbert_orig_f1_epoch2	0.9270147018837939	0.005140712341007866	5
dev_noah_gbert_orig_acc_epoch2	0.7956236516532382	0.0018774744336753923	5
dev_noah_gbert_orig_f1_epoch2	0.702203929256481	0.01651252797370536	5
