METRIC	AVERAGE	STD_DEV	N_RUNS
dev_ndt-nno_mbert_orig_acc_epoch1	0.9641536	0.0017286398815253574	5
dev_ndt-nno_mbert_orig_f1_epoch1	0.8283967540786982	0.009414888145768362	5
dev_lia-west_mbert_orig_acc_epoch1	0.5486137049274529	0.007531874885200593	5
dev_lia-west_mbert_orig_f1_epoch1	0.4775756779599535	0.012716107267988415	5
dev_ndt-nno_mbert_orig_acc_epoch2	0.97008	0.0007403004795351638	5
dev_ndt-nno_mbert_orig_f1_epoch2	0.8566036981853976	0.003225904439048746	5
dev_lia-west_mbert_orig_acc_epoch2	0.5722597327970119	0.006609651137581587	5
dev_lia-west_mbert_orig_f1_epoch2	0.5231693280540666	0.007866958818988943	5
dev_f1_epoch	0.6714363645695289	0.1723450175131645	20
dev_acc_epoch	0.7637767594311162	0.20358644950474483	20
