METRIC	AVERAGE	STD_DEV	N_RUNS
dev_ndt-nno_xlmr_orig_acc_epoch1	0.9710592	0.0011697477334878898	5
dev_ndt-nno_xlmr_orig_f1_epoch1	0.8275885891997756	0.02498009389032027	5
dev_lia-west_xlmr_orig_acc_epoch1	0.6438299094957621	0.004455375357828392	5
dev_lia-west_xlmr_orig_f1_epoch1	0.5560266888583977	0.009221612776058789	5
dev_ndt-nno_xlmr_orig_acc_epoch2	0.9769983999999999	0.0005398050018293682	5
dev_ndt-nno_xlmr_orig_f1_epoch2	0.866063988009579	0.0026998430442719264	5
dev_lia-west_xlmr_orig_acc_epoch2	0.6795000718287602	0.004688828301410094	5
dev_lia-west_xlmr_orig_f1_epoch2	0.6174096275384032	0.005467933830476199	5
dev_f1_epoch	0.7167722234015388	0.13325406272092705	20
dev_acc_epoch	0.8178468953311306	0.15673900428128423	20
