METRIC	AVERAGE	STD_DEV	N_RUNS
dev_ndt-nno_xlmr_orig_acc_epoch1	0.8961600000000001	0.00704407154989216	5
dev_ndt-nno_xlmr_orig_f1_epoch1	0.7223314528485334	0.00612472492321126	5
dev_lia-west_xlmr_orig_acc_epoch1	0.5692141933630226	0.002581681926646763	5
dev_lia-west_xlmr_orig_f1_epoch1	0.49380943599524774	0.003905893346724264	5
dev_ndt-nno_xlmr_orig_acc_epoch2	0.9213951999999999	0.003199526364948421	5
dev_ndt-nno_xlmr_orig_f1_epoch2	0.781383798159432	0.016053450848567095	5
dev_lia-west_xlmr_orig_acc_epoch2	0.5804769429679644	0.007656635879590416	5
dev_lia-west_xlmr_orig_f1_epoch2	0.5101066360625007	0.01608987383175859	5
dev_acc_epoch	0.7418115840827466	0.16734513690013275	20
dev_f1_epoch	0.6269078307664284	0.12737303434252956	20
