METRIC	AVERAGE	STD_DEV	N_RUNS
dev_ndt-nob_mbert_orig_acc_epoch1	0.8897846949157204	0.0019826714891560335	5
dev_ndt-nob_mbert_orig_f1_epoch1	0.7181341535317982	0.0044178844248484225	5
dev_lia-west_mbert_orig_acc_epoch1	0.5148254561126275	0.005431052312506644	5
dev_lia-west_mbert_orig_f1_epoch1	0.4464816231868136	0.0037469499024371158	5
dev_ndt-nob_mbert_orig_acc_epoch2	0.9130970385239365	0.004017136535584108	5
dev_ndt-nob_mbert_orig_f1_epoch2	0.7910864451656698	0.011295925160620127	5
dev_lia-west_mbert_orig_acc_epoch2	0.5260882057175693	0.004849031871965679	5
dev_lia-west_mbert_orig_f1_epoch2	0.4695012677559801	0.00433756861810724	5
dev_f1_epoch	0.6063008724100655	0.15090451010819805	20
dev_acc_epoch	0.7109488488174635	0.1907597119389609	20
