METRIC	AVERAGE	STD_DEV	N_RUNS
dev_ndt-nob_norbert_orig_acc_epoch1	0.9708597981797686	0.0009429786127469798	5
dev_ndt-nob_norbert_orig_f1_epoch1	0.8544564645737452	0.010557756115818311	5
dev_lia-west_norbert_orig_acc_epoch1	0.6302255423071397	0.0035871256972227323	5
dev_lia-west_norbert_orig_f1_epoch1	0.5797697654001676	0.0047015352356600485	5
dev_ndt-nob_norbert_orig_acc_epoch2	0.9756605900629657	0.0004076082479079689	5
dev_ndt-nob_norbert_orig_f1_epoch2	0.8799145685205106	0.011822555820125842	5
dev_lia-west_norbert_orig_acc_epoch2	0.6310443901738255	0.0034455650594191504	5
dev_lia-west_norbert_orig_f1_epoch2	0.5810869552237683	0.005595921621107209	5
dev_f1_epochr	0.7238069384295478	0.14392641304461512	20
dev_acc_epochr	0.8019475801809248	0.1713400862175789	20
