METRIC	AVERAGE	STD_DEV	N_RUNS
dev_padt_arabert_orig_acc_epoch1	0.9212876220849113	0.003853885282394078	5
dev_padt_arabert_orig_f1_epoch1	0.6964594602489012	0.013367778353610473	5
dev_dar-egy_arabert_orig_acc_epoch1	0.6809112173294011	0.012097335503065099	5
dev_dar-egy_arabert_orig_f1_epoch1	0.41134084487676165	0.009747409142120363	5
dev_padt_arabert_orig_acc_epoch2	0.9332336721812504	0.001556388286882527	5
dev_padt_arabert_orig_f1_epoch2	0.7948505858766175	0.002851855101396386	5
dev_dar-egy_arabert_orig_acc_epoch2	0.6716566663276721	0.010937865749869964	5
dev_dar-egy_arabert_orig_f1_epoch2	0.4403372194719567	0.00879211188483588	5
dev_f1_epocha	0.5857470276185595	0.16424236168762624	20
dev_acc_epocha	0.8017722944808089	0.1258836181049815	20
