METRIC	AVERAGE	STD_DEV	N_RUNS
dev_padt_mbert_orig_acc_epoch1	0.9543606116619057	0.0011786710076794188	5
dev_padt_mbert_orig_f1_epoch1	0.809902843386029	0.0015360999168121065	5
dev_dar-egy_mbert_orig_acc_epoch1	0.5876538187735177	0.0035941991255414034	5
dev_dar-egy_mbert_orig_f1_epoch1	0.3688983078023562	0.0038178094578564608	5
dev_padt_mbert_orig_acc_epoch2	0.9624936985380609	0.0008652294541438224	5
dev_padt_mbert_orig_f1_epoch2	0.8586123325343472	0.008579813724179526	5
dev_dar-egy_mbert_orig_acc_epoch2	0.5878572154988305	0.006098035997054774	5
dev_dar-egy_mbert_orig_f1_epoch2	0.36957456901507924	0.003004277229666092	5
dev_f1_epoch	0.6017470131844529	0.2332009752973577	20
dev_acc_epoch	0.7730913361180785	0.18539336532403386	20
