METRIC	AVERAGE	STD_DEV	N_RUNS
dev_padt_mbert_orig_acc_epoch1	0.910630146193917	0.006040225304667979	5
dev_padt_mbert_orig_f1_epoch1	0.6789045935948443	0.004911030795718029	5
dev_dar-egy_mbert_orig_acc_epoch1	0.5712397030407811	0.008260261304740434	5
dev_dar-egy_mbert_orig_f1_epoch1	0.3331904762721184	0.007078374387670664	5
dev_padt_mbert_orig_acc_epoch2	0.9188170055452864	0.004655163958432711	5
dev_padt_mbert_orig_f1_epoch2	0.7650573196496873	0.005367649819059841	5
dev_dar-egy_mbert_orig_acc_epoch2	0.59776263602156	0.008031312288662327	5
dev_dar-egy_mbert_orig_f1_epoch2	0.35317296401106335	0.005200388213026898	5
dev_acc_epoch	0.7496123727003863	0.1655467998294037	20
dev_f1_epoch	0.5325813383819283	0.19204799847915363	20
