METRIC	AVERAGE	STD_DEV	N_RUNS
dev_acc_epoch	0.7049108755911841	0.26430786008131274	20
dev_f1_epoch	0.6461463123032531	0.2595954150583243	20
dev_hdt_gbert_orig_acc_epoch1	0.9653985629937016	0.0003380884117291875	5
dev_hdt_gbert_orig_f1_epoch1	0.8914226430250618	0.0005570880057055514	5
dev_noah_gbert_orig_acc_epoch1	0.43358605204068157	0.004328286172475383	5
dev_noah_gbert_orig_f1_epoch1	0.3817934673515832	0.0025528724261247022	5
dev_hdt_gbert_orig_acc_epoch2	0.9728871266646554	0.00019366758677340164	5
dev_hdt_gbert_orig_f1_epoch2	0.9194022263367584	0.014906060489437666	5
dev_noah_gbert_orig_acc_epoch2	0.44777176066569807	0.003592075148786307	5
dev_noah_gbert_orig_f1_epoch2	0.3919669124996087	0.003351573959581764	5
