METRIC	AVERAGE	STD_DEV	N_RUNS
dev_f1_epoch	0.3429717189708901	0.3294943331542977	40
dev_acc_epoch	0.462682546652744	0.3964462074096946	40
dev_tdt_mbert_orig_acc_epoch1	0.9429871282734134	0.000857078185411783	5
dev_tdt_mbert_orig_f1_epoch1	0.7558836212018707	0.0030693974425514852	5
dev_murre-SAV_mbert_orig_acc_epoch1	0.7515563189096348	0.0038734318140348006	5
dev_murre-SAV_mbert_orig_f1_epoch1	0.5138474540496503	0.0023934871354043224	5
dev_tdt_mbert_orig_acc_epoch2	0.9557589880159787	0.001522906210767664	5
dev_tdt_mbert_orig_f1_epoch2	0.8290870293950263	0.005824063086216523	5
dev_murre-SAV_mbert_orig_acc_epoch2	0.7614486490479621	0.013324217613861504	5
dev_murre-SAV_mbert_orig_f1_epoch2	0.5322971704118232	0.004901626558290963	5
