TRAIN	TARGET	AVG_0_MONOLINGUAL	AVG_15_MONOLINGUAL	AVG_35_MONOLINGUAL	AVG_55_MONOLINGUAL	AVG_75_MONOLINGUAL	AVG_95_MONOLINGUAL	AVG_0_MBERT	AVG_15_MBERT	AVG_35_MBERT	AVG_55_MBERT	AVG_75_MBERT	AVG_95_MBERT	AVG_0_XLMR	AVG_15_XLMR	AVG_35_XLMR	AVG_55_XLMR	AVG_75_XLMR	AVG_95_XLMR
German	Alsatian G.	0.4257550666351234	0.5507609809951898	0.5656020818547434	0.5685198328207555	0.5741976184843467	0.5625423862471414	0.425958050780634	0.5497082479104243	0.568995426588866	0.5711441413026337	0.5753351206434316	0.564690111969721	0.4252018363147063	0.5532689567832831	0.5663764445148013	0.5728589520341935	0.5735317397498813	0.5645401298084534
German	German	0.9508678848047932	0.9488475422196483	0.9446516857654152	0.9379007139488854	0.9255482751044475	0.8781615739278521	0.9508678848047932	0.9488630585581639	0.9446388893558337	0.9378164144072121	0.9256064047136544	0.8780733269627655	0.950860188755637	0.9488520268961412	0.9446316594260254	0.937803494015357	0.9255847505290994	0.8782699651414367
German	Swiss German	0.4900189318892264	0.6089552238805971	0.6242292959978866	0.6314269361158809	0.6329605659020531	0.6218905472636816	0.48999163400995116	0.6124028004050901	0.627507375280701	0.6340997754392145	0.6355669059046277	0.6185760204306284	0.4900088946816849	0.6123081258641491	0.6225801622178582	0.6366126234027001	0.636721825435267	0.6186436050761331
German	Low Saxon	0.4078674948240166	0.5785369220151828	0.606832298136646	0.6194616977225673	0.6262939958592133	0.6233264320220842	0.4089664613278575	0.5757015742642027	0.6057494866529773	0.6188398357289527	0.6253251197809719	0.6256673511293634	0.4086390126842646	0.5821734658896126	0.6075419952005484	0.6235858758998971	0.6290709633184779	0.6205690778196777
Dutch	Dutch	0.8669291263513388	0.8622793120218935	0.8532340062851164	0.8387996156429427	0.8125025960411449	0.7193135802037017	0.8669291263513388	0.8624178521552384	0.8532422764843142	0.8391683347617451	0.8121972081446351	0.7187628595154181	0.8669291263513388	0.8624740788557421	0.8533650533375361	0.8392608611894655	0.8124139552047875	0.7194801498650654
Dutch	Low Saxon	0.4659011830201809	0.557759220598469	0.569589422407794	0.5727209464161447	0.5737647877522617	0.5634655532359082	0.46714579055441485	0.5593429158110883	0.5740588637919234	0.5811088295687885	0.5747433264887063	0.5715263518138262	0.4665752485430237	0.5584504628042509	0.5727802536852932	0.5763455605073705	0.5693520740486802	0.5690092560850188
Bokmål	Bokmål	0.8951587734982486	0.8905538838414113	0.8820496459085574	0.8687812532500953	0.8458760245581523	0.7669217405029302	0.8951561038202577	0.892511046552111	0.8821021290146561	0.8687825160795197	0.8458365701603089	0.7667340701823364	0.8951587734982486	0.8905536958310328	0.8819573582295263	0.8686715044627361	0.8457472166201278	0.7671639398032278
Bokmål	East N.	0.4972169145135831	0.6783750103846473	0.689407659715876	0.7012378499626153	0.7116224972999917	0.7029326244080751	0.4972169145135831	0.673451302927086	0.6921159757414639	0.6972667608208025	0.7080501786159342	0.7076680235939187	0.4972169145135831	0.6733073024840076	0.6929135166569743	0.6994433829027166	0.710326493312287	0.706471712220653
Bokmål	North N.	0.5060211354141066	0.6742197100024576	0.6896862455967886	0.707282706643729	0.7129679691980012	0.7043335790939624	0.5060211354141066	0.6627618033368833	0.6863111329565003	0.6958138772835258	0.7081838289506022	0.7128532809043991	0.5060211354141066	0.663029409355288	0.6933398869501106	0.6937822560825755	0.7142131563856804	0.7026787908577046
Bokmål	West N.	0.506249102140497	0.6848584973423358	0.693046976009194	0.7075420198247377	0.7093233730785807	0.7057175693147536	0.506249102140497	0.6827610975434564	0.6938227266197385	0.7016951587415601	0.7134463439161041	0.7095244936072403	0.506249102140497	0.6785806636977446	0.6983335727625342	0.7018388162620314	0.7137336589570464	0.7020112052865968
