TRAIN	TARGET	AVG_0_MONOLINGUAL	AVG_15_MONOLINGUAL	AVG_35_MONOLINGUAL	AVG_55_MONOLINGUAL	AVG_75_MONOLINGUAL	AVG_95_MONOLINGUAL	AVG_0_MBERT	AVG_15_MBERT	AVG_35_MBERT	AVG_55_MBERT	AVG_75_MBERT	AVG_95_MBERT	AVG_0_XLMR	AVG_15_XLMR	AVG_35_XLMR	AVG_55_XLMR	AVG_75_XLMR	AVG_95_XLMR
German	Alsatian G.	21.640798142808798	22.87526070841357	25.756814357253695	28.874977586352735	32.1603629872543	36.24527429172974	29.902610841464213	28.678482363991293	30.856952623458596	33.69833823246968	36.839866621931364	40.66730789275914	26.515544574800902	24.10026505367191	25.358661792373933	27.232927824988828	29.35206395514043	31.822306208191986
German	German	6.247107132619362	6.603462746106924	7.435288551879081	8.335417078591902	9.306401569288656	10.463020358925707	5.30118474717095	5.08416920803419	5.470372050751857	5.992300237517649	6.531033027831488	7.209568203009899	5.25583006722443	4.777080755020403	5.026516303934335	5.416296961882736	5.8180762546786156	6.307720111333749
German	Swiss German	7.939509491646708	8.39240532256866	9.44958086640403	10.593563005628514	11.799463763724427	13.29755480216205	9.796095306066295	9.395070817075306	10.108737673669012	11.038824698216104	12.068740298448768	13.3226100580555	9.93434458582389	9.029433168059459	9.500905545052369	10.205085293676328	10.997078216248381	11.92258203469901
German	Low Saxon	30.27998739555617	32.0072578354045	36.03915201928386	40.40211232469111	44.999051304129864	50.714693675323254	48.2146487570001	46.24087713927375	49.75341920272936	54.3348388602965	59.40020551543846	65.57153073815506	44.30387035265695	40.26826661585045	42.37087649460982	45.50252023970089	49.04330862913086	53.17074761912088
Dutch	Dutch	3.2546885295499735	3.73228673242253	4.47147912678256	5.3802220372550575	6.562670263610056	8.632729630242407	4.504503701823404	4.380607501560542	4.600004367409178	4.924034630890445	5.319010811017999	5.85389135209943	4.09612505914298	3.8072779879254464	3.8958141543691815	4.1086598411201205	4.378878290178235	4.768274720752817
Dutch	Low Saxon	2.0026896947855537	2.296567585237093	2.7514107990217873	3.310582604707398	4.038172005671073	5.311930315724217	5.711865899024547	5.554761248180617	5.8329640335144175	6.243845572246727	6.744688977766477	7.422935933456202	5.133020878806994	4.771054868020189	4.882003138476636	5.1487287238241635	5.487350450657951	5.975318952452289
Bokmål	Bokmål	2.5288919767590037	2.5266312417046057	2.7308106255694122	3.031308228031345	3.426927728138247	4.083205640241448	3.3703689657650484	3.116903700181787	3.2143594127198356	3.373178827972636	3.5889238024051453	3.8716973117953963	3.2260924474563195	2.9209124860852844	2.960312998324689	3.094837215740319	3.2827633673396237	3.555845403512638
Bokmål	East N.	1.1297184505538789	1.1287085244177533	1.2199204936495955	1.3541601879379694	1.5308931811923752	1.8240687192571297	2.331935137651028	2.17636122851204	2.2239931994683686	2.3338792620126005	2.483151727953607	2.6788007768387745	1.9882766251534867	1.8001908236639157	1.824473797193224	1.9073825672799134	2.0232035428302453	2.1915070363337357
Bokmål	North N.	1.0777106443636568	1.0767472112654455	1.1637601392089805	1.2918199645218928	1.4604168639946253	1.7400957502556402	2.303721659253836	2.1500299984903677	2.197085682584384	2.305642262159005	2.453108719251342	2.646390661039477	1.9158523296545318	1.7346176782986533	1.758016128402885	1.8379048915206	1.9495070111772825	2.111679938243085
Bokmål	West N.	1.1308547365948203	1.1298437946613777	1.2211475061209884	1.355522220502807	1.5324329741833704	1.82590339215496	2.392906736204005	2.2306039602691845	2.282142510035869	2.3949016923268025	2.548077088808809	2.7488416467290673	2.0066611917862844	1.8168362580721413	1.8413437637109378	1.9250191483565975	2.041911060624458	2.2117707695718662
Nynorsk	East N.	1.488939086984384	1.4561355927751496	1.5448474204624296	1.6759248149162693	1.8531164841402137	2.121663600217397	2.5578222619268107	2.3551092473592234	2.379845979341949	2.4711676328275525	2.6031137816498324	2.7770706458406567	2.3385320138950454	2.0474677512842616	2.0276986213084376	2.0769672302959212	2.181299503946433	2.318577405603521
Nynorsk	North N.	1.4203941717207937	1.3891008217146212	1.4737287048236056	1.598771810182377	1.7678062699821475	2.023990530199946	2.5268758338012756	2.3266153914193333	2.351052840097758	2.4412696165839067	2.5716193831744145	2.743471588384528	2.2533494334304045	1.9728873797365423	1.953838353438956	2.0013123206492383	2.101844221996747	2.2341216849878514
Nynorsk	Nynorsk	3.068937237959974	3.0013240858881725	3.1841730914766986	3.4543441820274134	3.819564033323689	4.37308180438659	4.0108432148762265	3.692975108421854	3.7317640247230153	3.8749627292249045	4.081863468033172	4.354639930575695	3.6501145247601507	3.1958047756177104	3.1649479868126527	3.2418492497465765	3.404697029973749	3.6189682307911077
Nynorsk	West N.	1.490436681982078	1.457600193576329	1.5464012488153216	1.6776104826788192	1.8549803736713923	2.123797598056698	2.6246999848986268	2.4166867643578454	2.4420702716593228	2.5357796533049504	2.6711757126700713	2.8496809143844084	2.360155211134547	2.066399627677007	2.046447702770782	2.09617187312904	2.2014688534066957	2.3400160928904703
French	French	4.798558619564541	5.409841724811448	6.425157840692867	7.635431057359005	9.289672873449575	12.306038191143575	5.325443474974283	5.4916029229418415	6.069180429967948	6.74127603380055	7.569095849656678	8.701792823016875	5.314488898977311	5.236474467949119	5.5699794346006275	6.010428506207252	6.543560021611602	7.2620480149851705
French	Picard	2.585820960966564	2.9152258493819154	3.4623538314699163	4.114539227182708	5.0059679877096706	6.631410392982096	3.37080207913325	3.4759746558977396	3.841559131762183	4.266969948611797	4.790948236908062	5.507902107655686	3.718084755012184	3.6635048561374886	3.896829218234932	4.204973050996536	4.577958712933453	5.080622149738377
French	Occitan	1.7701419522247193	1.995638388773814	2.3701787026430337	2.8166368089877056	3.4268706458418356	4.539578693278449	3.7034765108686094	3.8190288804503227	4.220693970039422	4.688089839237736	5.2637810953109305	6.051493265101956	4.021537442608856	3.9625029876673707	4.214870192901943	4.548163284053041	4.95159029120061	5.49527876667616
Spanish	Occitan	3.0467551283504197	3.2249539193795114	3.651483858428466	4.186082562396992	4.850644501323147	6.056531810672805	5.616776293675896	5.4322398588647545	5.788387796704307	6.277637783899108	6.863264742919694	7.677917715140076	5.073423604943245	4.661547019851715	4.827346064364785	5.134056311009567	5.4991274260062415	6.049936135065235
