TRAIN	TARGET	AVG_ALL_MONOLINGUAL	AVG_0_MONOLINGUAL	AVG_15_MONOLINGUAL	AVG_35_MONOLINGUAL	AVG_55_MONOLINGUAL	AVG_75_MONOLINGUAL	AVG_95_MONOLINGUAL	RHO_MONOLINGUAL	P_MONOLINGUAL	AVG_ALL_MBERT	AVG_0_MBERT	AVG_15_MBERT	AVG_35_MBERT	AVG_55_MBERT	AVG_75_MBERT	AVG_95_MBERT	RHO_MBERT	P_MBERT	AVG_ALL_XLMR	AVG_0_XLMR	AVG_15_XLMR	AVG_35_XLMR	AVG_55_XLMR	AVG_75_XLMR	AVG_95_XLMR	RHO_XLMR	P_XLMR
German	Alsatian G.	0.5674853664066016	0.3300370414390983	0.5701788974488677	0.618299291594293	0.6291303237055258	0.6319321128929889	0.6253345313588363	-0.7716853072393332	5.950691358694659e-07	0.5875193358539871	0.43526041332049353	0.6050576674862498	0.627292313713063	0.6266871948180663	0.625417863661113	0.613234133917753	-0.5061743824878949	0.005084780974665029									
German	German	0.9354657496536547	0.9587497297823416	0.9588754327995339	0.9480222919399086	0.9259838518151108	0.9208196646333839	0.9018081354536761	-0.7984074770361713	1.2873053496063293e-14																		
German	Swiss German	0.6802647821943417	0.5330734493525273	0.705261614291414	0.72722642203489	0.7175224627495221	0.7013835098552322	0.6928974893502872	0.1707419125108166	0.35843402247330924	0.6525204918421507	0.5483847890813053	0.6751703128985783	0.6787913384098949	0.6765847913111637	0.6744268668101421	0.6617648525418204	-0.14648865843867145	0.4398543287468494									
German	Low Saxon	0.4209430983482357	0.14671882670805242	0.37815084115736614	0.4657718190250607	0.4890498244695113	0.5238605926748514	0.5221066860545719	0.891641012323055	3.8413566636488595e-11	0.557962419438012	0.39144332627996603	0.5893887170402279	0.5938498617435041	0.6030497672045462	0.5912659357902342	0.5877943781229001	-0.3466677234209778	0.065424257136669									
Dutch	Dutch																											
Dutch	Low Saxon	0.4635659306780632	0.4165815337481503	0.48086770492648234	0.48639531285970233	0.47579158808399286	0.46658652396009737	0.4551729204899531	-0.04704582485625521	0.8050104897418798	0.5616386533470695	0.5828646277281342	0.5618808852239909	0.5592194981189904	0.5599657411184461	0.5504216603567011	0.5554795075361547	0.4751405344487198	0.007969340639621295									
Bokmål	Bokmål	0.8921197336121877	0.9277730515643988	0.9247110997026423	0.9142269170708053	0.8986908489534156	0.8721928946683258	0.815123589713538	-0.7940507204635102	3.755039556816119e-14	0.88321926812867	0.9161849852671816	0.9104842501571084	0.9036957566410125	0.8945946779266958	0.8675779428096198	0.81223099237609	-0.819692974421275	3.605556453298263e-15									
Bokmål	East N.	0.5399834987457008	0.3783383812127621	0.5933170195213051	0.6054914055807453	0.5790504129664117	0.5562712353772816	0.5274325378156995	-0.7694556472935391	6.716270109613773e-07	0.4911516131250699	0.48254974494503566	0.5202888448059431	0.5058458546019835	0.4953461956493199	0.48606503405199736	0.46846889736848907	-0.46707091349580576	0.012215973207532756									
Bokmål	North N.	0.5675739148430055	0.3963010573748913	0.6227618653391549	0.6335847803840087	0.6051852356653186	0.5847068826531444	0.5629036676415144	-0.7725771712176508	5.667342453055315e-07	0.515626729988379	0.49662765066587033	0.5252981727607403	0.5270976061373567	0.5211399029092311	0.5196151006390177	0.5078505239270024	0.05214070127156469	0.7921631121026417									
Bokmål	West N.	0.5430113983140115	0.36157883679686914	0.6087566735711476	0.6136849550149736	0.5810869552237683	0.560667845070637	0.532293124206673	-0.7801580150333507	3.710100380132773e-07	0.49653333010163686	0.5112293961277514	0.5180533768725473	0.5040203039691326	0.49130679720498077	0.4850888386794286	0.4695012677559801	-0.9210725236075368	5.475774529805841e-13									
