DATASET	N_SENTS	SUBTOKS_PER_TOK	UNKS_PER_SUBTOK	TTR	SPLIT_TOKEN_RATIO
dev_lia-west_norbert_orig	1158	1.4557534836948713	0.06942320027631124	0.08147721737590223	0.28925441746875447
dev_padt_arabert_orig	909	1.4004431363471015	0.0	0.10816012317167052	0.32492857617434057
dev_rpic_beto_orig	559	1.8329480349783898	0.1363785917964466	0.08866384209982432	0.5577444969343652
dev_rpic_xlmr_orig	559	1.7777666097095186	0.0	0.13257112470087742	0.5679967835963413
dev_noah_mbert_orig	7320	1.8260555628934971	0.0077926085950158165	0.04827129576246757	0.4628065695037647
dev_AnCora-SPA_camembert_orig	1654	1.9946514201401697	0.0	0.03767338369610077	0.5798159969958693
dev_gsd_camembert_orig	1476	1.3020669952946449	0.0	0.18664671022026252	0.23024324627283937
train_AnCora-SPA-full_camembert_orig	14287	2.0057247129477807	0.0	0.008039575560953882	0.5815884045670942
dev_AnCora-SPA_xlmr_orig	1654	1.3298967170785687	0.0	0.11333289133461513	0.26836742228457505
train_padt-full_mbert_orig	6075	1.6474957678409512	0.0	0.008952920394862897	0.4075058564803748
dev_ndt-nno_xlmr_orig	1890	1.5184	0.0	0.1036306851454226	0.368128
dev_tdt_finbert_orig	1364	1.3804146208401527	0.0013832351895032209	0.33484356605187116	0.2549407114624506
train_padt-full_xlmr_orig	6075	1.3538576297229332	0.0	0.02151605218665643	0.2986042473004055
train_AnCora-SPA-full_mbert_orig	14287	1.2761885475255696	4.948189048121992e-05	0.026804002948033586	0.1815544371230467
dev_dar-egy_xlmr_orig	350	1.4872368554866267	0.0	0.1416731923779692	0.3680463744533713
dev_padt-translit_xlmr_orig	729	2.8847397944560456	0.0	0.023347980865502282	0.7508140008140008
dev_AnCora-SPA_beto_orig	1654	1.1553116931021763	0.0009738031002059354	0.15295152314667396	0.10651881100429914
dev_tdt_mbert_orig	1364	2.179378068739771	0.0020026033843997195	0.11167869528540632	0.5640257434531736
train_ndt-nno-full_norbert_orig	14174	1.2239840215220315	0.013693885706673771	0.05466667478121158	0.15786298376774258
dev_murre-SAV_finbert_orig	15021	1.456638381010702	0.0	0.027963841345057278	0.31755829150695764
train_ndt-nno-full_finbert_orig	14174	1.985676435821139	0.023009528970780832	0.011691697672523831	0.5667874460271488
dev_lia-west_bert_orig	1158	2.1125556672891825	0.0	0.031140668830964162	0.5861226835224824
train_gsd-full_xlmr_orig	14450	1.4553472210470502	0.0	0.03565575650801516	0.3478189574987207
dev_ndt-nno_finbert_orig	1890	1.955904	0.023592159942410262	0.04727127053095436	0.558443639626935
